addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building,building:levels,name,shop,website,wikidata,alt_name,branch,brand,brand:wikidata,opening_hours,phone,ref,source,addr:country,operator,payment:app:walmart,payment:apple_pay,payment:google_pay,payment:samsung_pay,ref:walmart,sensory_friendly:accommodation,sensory_friendly:conditional,toilets,addr:housename,designation,disused:shop,short_name,amenity,cuisine,drive_through,takeaway,membership,payment:cash,payment:debit_cards,payment:visa,building:levels:underground,roof:levels,addr:unit,wheelchair,contact:website,check_date,delivery,dispensing,healthcare,indoor_seating,outdoor_seating,note,check_date:opening_hours,leisure,sport,surface,landuse,building:use,fuel:diesel,fuel:gasoline,second_hand,service:vehicle:new_car_sales,service:vehicle:used_car_sales,healthcare:speciality,payment:credit_cards,official_name,addr:county,beauty,payment:american_express,payment:contactless,payment:discover_card,payment:mastercard,opening_hours:drive_through,tourism,clothes,drive_in,air_conditioning,check_date:currency:XBT,currency:XBT,payment:lightning,payment:onchain,roof:shape,building:units,layer,level,atm,brand:website,addr:full,check_date:opening_hours:drive_through,internet_access,recycling_type,start_date,height,fuel:octane_95,company,industrial,man_made,product,emergency,type,Building_Sq_Ft,one_mile_buffer,cluster_id,latitude,longitude
,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,factory,,,,multipolygon,5006529.121035114,"POLYGON ((-97.05295085928391 32.73859964717671, -97.05305672345516 32.737178187097314, -97.053326923078 32.735772341050264, -97.0537588484669 32.73439564704858, -97.0543483330628 32.73306136175932, -97.05508969382385 32.73178233289798, -97.05597578618578 32.73057087558165, -97.05699807305461 32.729438653829035, -97.05814670715921 32.72839656834384, -97.05941062596621 32.72745465165837, -97.06077765823946 32.72662197164256, -97.0622346412176 32.72590654430213, -97.06376754728211 32.72531525670149, -97.06536161890025 32.724853800748804, -97.0670015105487 32.72452661847618, -97.06867143625898 32.724336859339104, -97.07035532137273 32.724286349942645, -97.07203695705617 32.72437557648381, -97.0737001560965 32.72460368007863, -97.07532890849184 32.724968465017405, -97.0769075353476 32.72546641987021, -97.0784208396086 32.726092751240586, -97.07985425218499 32.72684142984478, -97.081193972074 32.72770524847589, -97.08242709913493 32.72867589129894, -97.08354175824398 32.72974401381339, -97.08452721363643 32.730899332718295, -97.08537397233574 32.73213072481922, -97.0860738756722 32.733426334029176, -97.08662017800572 32.73477368543825, -97.08700761188942 32.73615980535702, -97.08723243903827 32.73757134618191, -97.08729248660295 32.73899471488264, -97.08718716838916 32.74041620387674, -97.08691749080678 32.741822123031994, -97.08648604347967 32.74319893152583, -97.08589697459517 32.744533368291364, -97.08515595121965 32.745812579792, -97.08427010495178 32.7470242438918, -97.08324796342832 32.748156688625556, -97.08209936833485 32.74919900472055, -97.08083538070557 32.75014115078219, -97.0794681744214 32.750974050125826, -97.07801091893086 32.75168967831706, -97.07647765232497 32.752281140572876, -97.07488314599186 32.752742738273255, -97.0732427621607 32.75307002393877, -97.07157230571433 32.753259844140594, -97.06988787170694 32.75331036992704, -97.06820569006601 32.753221114471145, -97.06654196898518 32.752992937768134, -97.06491273852807 32.7526280383372, -97.06333369596088 32.75212993200812, -97.06182005431437 32.75150341799848, -97.06038639564393 32.75075453261079, -97.05904653040957 32.74989049099851, -97.05781336433753 32.74891961756571, -97.05669877405082 32.747851265675045, -97.05571349266931 32.746695727442315, -97.05486700648241 32.745464134490604, -97.05416746368735 32.744168350625436, -97.05362159606878 32.74282085746869, -97.05323465436774 32.741434634157045, -97.05301035795497 32.74002303226739, -97.05295085928391 32.73859964717671))",0,32.73879836134858,-97.07012163725247
,,,,,commercial,,Vandergriff Chevrolet,car,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,58367.8392834662,"POLYGON ((-97.10926255902245 32.67481807185548, -97.1093674463096 32.673396559025235, -97.10963656098677 32.67199058587019, -97.11006730382506 32.67061369162982, -97.11065551965976 32.66927913490097, -97.11139553767084 32.66799976601375, -97.1122802262258 32.66678790335944, -97.11330106174752 32.665655214858916, -97.114448210937 32.66461260570859, -97.11571062555372 32.66367011348084, -97.11707614883791 32.66283681158459, -97.11853163254894 32.66212072201025, -97.12006306349404 32.661528738195265, -97.12165569833286 32.66106655874773, -97.12329420536484 32.660738632662586, -97.12496281194213 32.66054811655392, -97.1266454560972 32.66049684431246, -97.1283259409354 32.66058530947813, -97.12998809031697 32.660812660496205, -97.13161590434072 32.66117670890244, -97.13319371314341 32.661673950358654, -97.13470632754512 32.662299598338365, -97.13613918509945 32.663047630139694, -97.13747849015128 32.66391084478622, -97.13871134656017 32.66488093226199, -97.1398258818165 32.665948553417884, -97.14081136135815 32.667103429785136, -97.14165829198765 32.66833444243547, -97.1423585133925 32.66962973894099, -97.14290527688327 32.67097684740814, -97.1432933105861 32.67236279649208, -97.14351887045335 32.67377424023917, -97.14357977659239 32.675197586558404, -97.14347543455239 32.67661912808661, -97.14320684135232 32.67802517418878, -97.14277657618102 32.679402182822145, -97.14218877584669 32.680736890993735, -97.14144909520192 32.68201644255365, -97.14056465291443 32.683228512090565, -97.1395439630974 32.68436142373324, -97.13839685345052 32.68540426371, -97.13713437069464 32.686346985577956, -97.13576867420812 32.68718050710326, -97.13431291888769 32.68789679785525, -97.13278112836383 32.68848895666535, -97.13118805979539 32.68895127820051, -97.12954906155085 32.68927930800544, -97.1278799251551 32.68946988548011, -97.12619673293634 32.68952117437561, -97.12451570285096 32.68943268051197, -97.12285303199225 32.68920525654674, -97.12122474030151 32.68884109374755, -97.11964651599844 32.68834370084855, -97.1181335642304 32.68771787019615, -97.11670046040864 32.68696963151224, -97.11536100965213 32.68610619372355, -97.11412811370069 32.68513587542135, -97.11301364658352 32.68406802462527, -97.11202834024424 32.68291292862896, -97.11118168122417 32.681681714800966, -97.11048181939807 32.68038624330031, -97.10993548963692 32.67903899274555, -97.10954794714662 32.67765293994183, -97.10932291709783 32.67624143482871, -97.10926255902245 32.67481807185548))",1,32.67500901486987,-97.1264211310785
Arlington,401,76011,TX,North Great Southwest Parkway,industrial,1,STAG Arlington North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195378.7534250018,"POLYGON ((-97.03053952287745 32.745956342619365, -97.03064575464282 32.744534902349, -97.03091633152023 32.74312910572811, -97.03134864019079 32.741752490292434, -97.03193851040474 32.74041831195139, -97.03268025540775 32.73913941738965, -97.03356672693701 32.737928120430446, -97.03458938424932 32.736796083547794, -97.03573837650892 32.73575420566501, -97.03700263773649 32.73481251731544, -97.03836999340172 32.733980084170476, -97.03982727763238 32.73326491985919, -97.04136045991235 32.73267390891399, -97.04295478005221 32.73221274057983, -97.04459489013831 32.73188585412032, -97.04626500210117 32.731696396143555, -97.04794903949093 32.7316461903556, -97.04963079200881 32.7317357200312, -97.05129407131773 32.731964123368265, -97.05292286664294 32.73232920177165, -97.0545014986759 32.73282744098627, -97.05601477031033 32.733454044877924, -97.05744811276874 32.73420298153887, -97.0587877257212 32.7350670412773, -97.06002071005396 32.736037905936186, -97.06113519201448 32.737106228878346, -97.06212043754056 32.73826172487204, -97.06296695567318 32.739493269016485, -97.06366659005579 32.74078900375949, -97.06421259763512 32.7421364529809, -97.06459971379981 32.74352264204794, -97.06482420332192 32.74493422268969, -97.06488389660151 32.7463576014909, -97.06477821085471 32.747779070770434, -97.06450815603003 32.74918494058451, -97.06407632538419 32.750561670584595, -97.0634868707967 32.75189600045862, -97.06274546304961 32.75317507769866, -97.06185923744519 32.754386581461155, -97.06083672527586 32.75551884132482, -97.05968777179963 32.7565609497973, -97.0584234415054 32.75750286748381, -97.05705591157766 32.75833551989965, -97.05559835458544 32.75905088498928, -97.05406481152694 32.75964207050456, -97.05247005645613 32.76010338049183, -97.05082945400078 32.760430370243874, -97.04915881115181 32.760619889183126, -97.04747422476083 32.760670111260715, -97.04579192622435 32.760580552575945, -97.04412812486268 32.76035207604573, -97.04249885151275 32.75998688307792, -97.04091980385331 32.75948849233032, -97.03940619496298 32.75886170576038, -97.03797260657974 32.75811256229611, -97.03663284848432 32.75724827957669, -97.03539982536822 32.756277184328106, -97.0342854124744 32.75520863204901, -97.03330034121086 32.75405291678446, -97.0324540958398 32.75282117186163, -97.0317548222357 32.75152526254856, -97.03120924958733 32.75017767167405, -97.03082262579188 32.74879137931447, -97.03059866715583 32.747379737710254, -97.03053952287745 32.745956342619365))",0,32.746158155652495,-97.04771167145623
,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172899.73672051897,"POLYGON ((-97.02567485045586 32.75081988732419, -97.02578116593165 32.749398451681216, -97.02605183466287 32.74799266611085, -97.0264842424454 32.746616068042286, -97.02707421807463 32.74528191321747, -97.02781607378083 32.74400304809455, -97.02870266023508 32.7427917862133, -97.02972543558771 32.74165978970997, -97.03087454786662 32.740617957119206, -97.03213892993729 32.73967631853834, -97.0335064061065 32.73884393915982, -97.03496380934244 32.73812883209526, -97.036497107984 32.73753788132607, -97.0380915407222 32.73707677551814, -97.03973175856024 32.73674995333327, -97.04140197239195 32.73656056076096, -97.04308610478746 32.736510420877806, -97.04476794453399 32.73660001632413, -97.04643130245515 32.73682848466468, -97.04806016701967 32.737193626678554, -97.04963885825264 32.737691927498204, -97.05115217847778 32.73831859039619, -97.05258555844962 32.739067582896475, -97.05392519747672 32.739931694769396, -97.05515819619367 32.740902607355714, -97.05627268070877 32.7419709735564, -97.05725791693439 32.74312650772281, -97.0581044140001 32.74435808458626, -97.05880401575118 32.745653846279005, -97.05934997944745 32.74700131642097, -97.05973704089908 32.748387520177545, -97.05996146540392 32.74979910913591, -97.06002108398715 32.75122248980037, -97.05991531458336 32.752643954471495, -97.05964516794596 32.75404981324965, -97.05921323821526 32.75542652589234, -97.05862367822463 32.75676083225455, -97.05788215977104 32.75803988005467, -97.05699581922298 32.75925134873277, -97.05597318898009 32.76038356820547, -97.05482411543795 32.76142563136953, -97.05355966424248 32.76236749926685, -97.05219201374332 32.76320009789244, -97.05073433767166 32.76391540570918, -97.04920067817356 32.76450653102082, -97.04760581042548 32.76496777845401, -97.04596510014147 32.76529470390423, -97.04429435535206 32.76548415741365, -97.04260967389156 32.76553431356385, -97.040927288073 32.76544468908939, -97.03926340805802 32.765216147541054, -97.03763406544164 32.76485089095305, -97.03605495857006 32.76435243859598, -97.03454130109232 32.76372559302081, -97.03310767521431 32.76297639372369, -97.03176789107752 32.76211205888139, -97.0305348536238 32.76114091572178, -97.02942043823353 32.76007232020466, -97.0284353763379 32.758916566791136, -97.02758915210791 32.7576847891755, -97.02688991121337 32.75638885294028, -97.02634438252694 32.75504124117309, -97.0259578135213 32.75365493415115, -97.02573391997414 32.75224328425571, -97.02567485045586 32.75081988732419))",0,32.751022373527604,-97.04284792900994
,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178554.0454279216,"POLYGON ((-97.02413673208838 32.75182611827688, -97.02424307339697 32.75040468404768, -97.02451376955189 32.74899890192284, -97.02494620608478 32.74762230929831, -97.02553621151411 32.746288161863546, -97.02627809778319 32.74500930600547, -97.02716471526882 32.7437980551746, -97.02818752182262 32.7426660714008, -97.02933666517218 32.74162425309614, -97.03060107788396 32.740682630220434, -97.03196858396991 32.73985026781491, -97.03342601611041 32.7391351788278, -97.03495934236622 32.738544247066585, -97.03655380116277 32.738083161014096, -97.03819404325252 32.73775635914209, -97.03986427929607 32.73756698724446, -97.04154843164984 32.73751686819888, -97.04323028890903 32.73760648444504, -97.04489366172876 32.737834973347525, -97.04652253843439 32.7382001354874, -97.0481012389341 32.73869845580343, -97.04961456546235 32.73932513738042, -97.05104794871292 32.740074147562446, -97.05238758796263 32.7409382759496, -97.05362058384378 32.74190920372352, -97.05473506249174 32.74297758363888, -97.05572028987514 32.74413312991495, -97.05656677520844 32.7453647171663, -97.0572663624496 32.746660487425025, -97.0578123089979 32.74800796422847, -97.05819935082836 32.74939417267779, -97.05842375342753 32.7508057643148, -97.05848334803133 32.75222914561796, -97.05837755280508 32.75365060888154, -97.05810737875072 32.75505646421943, -97.05767542027252 32.75643317142211, -97.05708583048063 32.75776747039695, -97.05634428145908 32.75904650893348, -97.05545790987078 32.760257966560864, -97.05443524841448 32.761390173302225, -97.0532861437865 32.762432222176955, -97.05202166193234 32.763374074364606, -97.05065398149719 32.76420665601154, -97.04919627650082 32.764921945744256, -97.0476625893681 32.76551305204073, -97.04606769554196 32.7659742797108, -97.04442696098786 32.76630118484048, -97.04275619397033 32.76649061766767, -97.04107149253797 32.766540752973285, -97.03938908919639 32.76645110769275, -97.03772519427609 32.766222545577236, -97.03609583951577 32.76585726885918, -97.0345167233786 32.76535879700309, -97.03300305960283 32.76473193274769, -97.03156943045494 32.76398271576909, -97.03022964610778 32.76311836441438, -97.02899661150508 32.762147206070374, -97.0278822019995 32.76107859684309, -97.02689714896532 32.7599228313256, -97.02605093648792 32.75869104332867, -97.02535171012367 32.75739509853468, -97.02480619860495 32.75604748011364, -97.02441964923882 32.75466116840669, -97.02419577761361 32.75324951584006, -97.02413673208838 32.75182611827688))",0,32.752028816905785,-97.04131000167752
,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404124.5847234764,"POLYGON ((-97.0361023656039 32.75207428548029, -97.03620851561939 32.75065284104937, -97.03647902305521 32.74924703290329, -97.0369112752599 32.7478703986893, -97.03750110252619 32.74653619449809, -97.03824281851195 32.745257267263746, -97.03912927523247 32.74404593112463, -97.04015193208596 32.74291384893257, -97.04130093823997 32.74187192004763, -97.04256522758047 32.74093017549461, -97.04393262530569 32.74009768148655, -97.0453899651379 32.73938245223883, -97.04692321602532 32.738791372909326, -97.04851761711787 32.73833013340159, -97.05015781972264 32.738003173664595, -97.05182803487978 32.73781364101194, -97.05351218514637 32.73776335986869, -97.05519405913766 32.737852814234856, -97.05685746734788 32.73808114303332, -97.05848639776221 32.738446148386295, -97.06006516977244 32.73894431674176, -97.06157858492566 32.73957085264748, -97.06301207306352 32.740319724849954, -97.06435183245438 32.74118372427767, -97.06558496257527 32.742154533354075, -97.06669958827057 32.74322280597687, -97.06768497409452 32.744378257398694, -97.06853162773743 32.74560976314779, -97.06923139153787 32.746905466041596, -97.06977752119613 32.74825289026672, -97.07016475092483 32.74963906143118, -97.07038934440173 32.75105063143667, -97.07044913102493 32.75247400697056, -97.07034352711058 32.75389548038352, -97.0700735418179 32.75530136169242, -97.0696417677327 32.75667811043837, -97.06905235618837 32.75801246612933, -97.0683109775511 32.7592915760091, -97.06742476684147 32.760503118920404, -97.06640225520721 32.761635424065254, -97.06525328790006 32.7626775835157, -97.06398892954125 32.76361955738629, -97.0626213575848 32.764452270651624, -97.0611637450041 32.765167700670226, -97.05963013333246 32.76575895456881, -97.05803529728475 32.76622033573522, -97.0563946022689 32.76654739877657, -97.05472385616791 32.76673699240938, -97.0530391568285 32.76678728986513, -97.05135673673605 32.76669780651688, -97.04969280638267 32.76646940455563, -97.04806339784886 32.76610428467069, -97.04648421011663 32.76560596481547, -97.04497045761495 32.76497924626431, -97.04353672346622 32.76423016728968, -97.04219681885616 32.763365944909125, -97.04096364988843 32.76239490526728, -97.03984909321149 32.76132640332685, -97.03886388161878 32.76017073264781, -97.0380175007244 32.75893902612778, -97.03731809770815 32.75764314866488, -97.03677240300505 32.75629558278112, -97.0363856656874 32.754909308312286, -97.03616160315434 32.7534976773267, -97.0361023656039 32.75207428548029))",0,32.75227534823919,-97.05327570935368
,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208978.94094899297,"POLYGON ((-97.03510983179967 32.751078242512826, -97.03521599651621 32.7496567988321, -97.03548651663381 32.74825099275005, -97.03591877937906 32.746874361893994, -97.0365086149434 32.74554016232221, -97.03725033690502 32.74426124092422, -97.03813679722191 32.74304991178208, -97.03915945525783 32.741917837680155, -97.04030846016916 32.74087591790054, -97.04157274585395 32.73993418338033, -97.04294013754583 32.739101700235814, -97.04439746902521 32.73838648257777, -97.04593070932084 32.73779541545246, -97.04752509768458 32.73733418864584, -97.04916528554611 32.73700724198465, -97.05083548408743 32.73681772265659, -97.05251961602556 32.7367674549584, -97.05420147015207 32.73685692276071, -97.05586485715227 32.737085264857015, -97.05749376521541 32.73745028324162, -97.05907251394837 32.73794846423705, -97.06058590512207 32.73857501226939, -97.06201936880893 32.739323895968475, -97.0633591035126 32.740187906152144, -97.0645922089476 32.74115872514028, -97.06570681019593 32.742227006735256, -97.06669217204715 32.74338246610327, -97.06753880242232 32.74461397869615, -97.06823854388409 32.745909687265446, -97.06878465234786 32.74725711594301, -97.06917186223042 32.74864329029403, -97.06939643740074 32.75005486218944, -97.06945620743336 32.75147823829842, -97.06935058880437 32.752899710966005, -97.06908059081492 32.75430559021616, -97.06864880617327 32.755682335609805, -97.06805938631476 32.75701668668702, -97.06731800168583 32.75829579073605, -97.066431787365 32.75950732665561, -97.06540927453501 32.760639623715, -97.06426030845932 32.76168177406408, -97.06299595374742 32.762623737905024, -97.06162838781836 32.763456440308836, -97.06017078358755 32.764171858738806, -97.05863718250798 32.76476310043315, -97.05704235919244 32.76522446889718, -97.05540167892624 32.76555151886047, -97.05373094945023 32.76574109916545, -97.05204626845088 32.765791383172036, -97.05036386823677 32.765701886382864, -97.0486999591084 32.765473471118455, -97.04707057294165 32.765108338196264, -97.04549140850288 32.76461000569539, -97.04397767999649 32.763983275012016, -97.04254397031357 32.763234184535534, -97.04120409040401 32.762369951394376, -97.0399709461334 32.761398901836785, -97.0388564139122 32.76033039092109, -97.03787122629818 32.759174712293735, -97.03702486867444 32.75794299892892, -97.03632548799665 32.756647115790656, -97.03577981448466 32.75529954545566, -97.03539309700676 32.753913267802524, -97.03516905277111 32.752501634930226, -97.03510983179967 32.751078242512826))",0,32.751279430099025,-97.05228298094876
Arlington,521,76011,TX,North Great Southwest Parkway,commercial,,ACP International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46980.98263551192,"POLYGON ((-97.02934436235738 32.747374934520856, -97.02945061495575 32.74595349540758, -97.02972121508093 32.744547701521434, -97.03015354918989 32.74317109037184, -97.03074344678782 32.74183691782691, -97.03148522085657 32.74055803051542, -97.03237172285334 32.73934674219086, -97.03339441174165 32.73821471524409, -97.03454343638172 32.73717284850281, -97.03580773048255 32.7362311723931, -97.03717511919741 32.735398752468576, -97.03863243633612 32.734683602231115, -97.04016565106585 32.734092606077645, -97.04176000288498 32.73363145311084, -97.04340014357511 32.73330458244633, -97.04507028477232 32.73311514054025, -97.04675434974551 32.733064950944026, -97.0484361279305 32.73315449677647, -97.05009943074326 32.733382916079975, -97.05172824718288 32.733748010105714, -97.05330689773758 32.734246264448146, -97.05482018512282 32.73487288282743, -97.05625354040939 32.735621833196255, -97.0575931631438 32.73648590573076, -97.05882615411798 32.73745678215065, -97.05994063951526 32.73852511570537, -97.06092588524014 32.739680621060955, -97.06177240033142 32.74091217322635, -97.06247202846158 32.74220791457196, -97.06301802663725 32.74355536891397, -97.06340513033732 32.744941561570215, -97.06362960445358 32.74635314423507, -97.06368927953417 32.747776523473725, -97.06358357297024 32.749197991600724, -97.06331349491053 32.75060385868336, -97.06288163883535 32.75198058439934, -97.06229215686895 32.75331490847783, -97.06155072005704 32.754593978466644, -97.06066446398174 32.755805473592204, -97.05964192022897 32.75693772351634, -97.05849293436103 32.75797982084247, -97.05722857117892 32.75892172628326, -97.05586100818408 32.75975436547201, -97.05440341826424 32.760469716480664, -97.05286984273499 32.7610608871968, -97.05127505596333 32.761522181809404, -97.0496344228826 32.76184915575938, -97.04796375077903 32.76203865862149, -97.0462791367862 32.762088864501756, -97.04459681256672 32.761999289655606, -97.04293298768847 32.76177079715556, -97.04130369321507 32.761405588563456, -97.0397246270288 32.76090718268746, -97.03821100238677 32.76028038163083, -97.03677740117872 32.75953122446103, -97.03543763330879 32.75866692894918, -97.03420460356253 32.757695821944445, -97.03309018724657 32.75662725905863, -97.03210511580168 32.75547153443881, -97.03125887349155 32.7542397815022, -97.03055960616089 32.75294386559392, -97.03001404293775 32.75159626960617, -97.02962743162826 32.750209973664425, -97.02940348841832 32.748798330043556, -97.02934436235738 32.747374934520856))",0,32.747576915192454,-97.04651678210033
,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153717.5730740555,"POLYGON ((-97.03512250934405 32.753360615025684, -97.03522867658711 32.75193917155785, -97.03549920345887 32.75053336566808, -97.03593147712053 32.749156734981916, -97.03652132765804 32.747822535556004, -97.03726306850506 32.7465436142785, -97.03814955143744 32.74533228523053, -97.039172235601 32.74420021119555, -97.04032126990037 32.74315829145517, -97.04158558795055 32.74221655694619, -97.04295301467349 32.74138407378498, -97.04441038351241 32.74066885608254, -97.04594366313643 32.74007778888566, -97.04753809241893 32.73961656198113, -97.04917832239586 32.73928961519665, -97.05084856384397 32.739100095721156, -97.05253273906746 32.739049827852895, -97.05421463644142 32.73913929546412, -97.05587806623514 32.73936763735014, -97.05750701622604 32.739732655507254, -97.05908580561761 32.74023083626009, -97.06059923578957 32.74085738403701, -97.06203273643894 32.74160626747021, -97.06337250571357 32.74247027738, -97.06460564299525 32.74344109608876, -97.06572027305921 32.744509377401464, -97.0667056604175 32.74566483648687, -97.0675523127454 32.74689634879943, -97.06825207239395 32.74819205709327, -97.06879819510311 32.74953948550282, -97.06918541515216 32.750925659595794, -97.06940999631185 32.752337231245534, -97.06946976809859 32.753760607123546, -97.0693641469712 32.75518207957712, -97.06909414225447 32.75658795863226, -97.06866234672107 32.75796470385183, -97.06807291191085 32.75929905477762, -97.06733150841399 32.760578158699424, -97.06644527149042 32.7617896945173, -97.0654227325404 32.76292199150162, -97.06427373707879 32.763964141803065, -97.0630093499981 32.76490610562441, -97.06164174902915 32.76573880803698, -97.0601841074249 32.76645422650408, -97.05865046699847 32.76704546826363, -97.0570556027419 32.76750683682048, -97.05541488033504 32.76783388690336, -97.05374410792497 32.768023467353586, -97.05205938361205 32.768073751529705, -97.05037694012238 32.76798425493277, -97.04871298817362 32.767755839881346, -97.04708356005443 32.76739070719088, -97.04550435493557 32.76689237493816, -97.04399058741349 32.7662656445169, -97.0425568407553 32.76551655431381, -97.04121692626714 32.7646523214547, -97.03998375014774 32.76368127218487, -97.03886918911432 32.76261276155981, -97.03788397600206 32.76145708322303, -97.0370375964395 32.7602253701458, -97.03633819759338 32.7589294872893, -97.03579250985828 32.75758191722742, -97.03540578223912 32.756195639836044, -97.03518173204138 32.75478400721159, -97.03512250934405 32.753360615025684))",0,32.7535618,-97.05229609999999
,,,,,retail,,The Parks Mall at Arlington,mall,https://www.theparksmallarlington.com/en.html,Q7756166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869165.8537535276,"POLYGON ((-97.11252586245003 32.67982361632981, -97.11263070343526 32.678402101073026, -97.1128997816348 32.676996121170156, -97.11333049817007 32.67561921592596, -97.11391869812866 32.674284644043595, -97.11465871084245 32.673005255999335, -97.115543404729 32.671793370369414, -97.11656425615901 32.670660655296246, -97.11771143167957 32.66961801623245, -97.11897388279604 32.66867549103883, -97.12033945239672 32.667842153441924, -97.12179499179477 32.66712602577625, -97.12332648726114 32.66653400184614, -97.12491919483429 32.666071780646156, -97.12655778211361 32.665743811573286, -97.12822647567903 32.665553251655574, -97.12990921272592 32.6655019352055, -97.13158979546596 32.66559035618856, -97.13325204681749 32.665817663475316, -97.13487996589824 32.666181669022365, -97.13645788183429 32.666678868904, -97.1379706044149 32.66730447699379, -97.13940357015282 32.66805247097365, -97.14074298235191 32.66891565023112, -97.14197594384054 32.66988570509072, -97.14309058109767 32.670953296717144, -97.14407615857922 32.67210814692584, -97.14492318214472 32.67333913704021, -97.1456234905866 32.6746344148493, -97.14617033437705 32.675981508639495, -97.14655844086845 32.677367447207345, -97.14678406531156 32.67877888470054, -97.14684502719118 32.68020222908843, -97.14674073151879 32.68162377302666, -97.14647217486588 32.6830298258572, -97.14604193606827 32.68440684547278, -97.1454541516792 32.685741568774965, -97.1447144763967 32.68702113946853, -97.14383002883591 32.68823323195813, -97.14280932315992 32.68936617015187, -97.14166218722046 32.69040904002269, -97.14039966799108 32.691351794840045, -97.13903392520095 32.692185352053, -97.13757811419258 32.692901680887445, -97.13604625913277 32.69349387980814, -97.13445311780208 32.693956243095805, -97.13281403927016 32.694284315893036, -97.13114481583568 32.69447493718577, -97.12946153066576 32.69452627030289, -97.12778040261287 32.6944378206384, -97.1261176297147 32.69421044042397, -97.12448923289625 32.69384632050556, -97.12291090139068 32.69334896920407, -97.12139784137878 32.69272317846498, -97.11996462931513 32.691974977625414, -97.11862507136203 32.6911115752474, -97.11739207029233 32.69014128958078, -97.11627750114816 32.68907346833061, -97.11529209685605 32.687918398505836, -97.11444534490091 32.68668720722271, -97.11374539605248 32.68539175442305, -97.11319898601955 32.684044518545186, -97.11281137078073 32.68265847625295, -97.11258627620667 32.68124697738476, -97.11252586245003 32.67982361632981))",1,32.680014123745565,-97.12968540568522
